name,version,license,checksum_sha256,repository
rustc-hash,1.1.0,Apache-2.0/MIT,08d43f7aa6b08d49f382cde6a7982047c3426db949b1424bc4b7ec9ae12c6ce2,https://github.com/rust-lang-nursery/rustc-hash
rustc-hash,2.1.3,Apache-2.0 OR MIT,6b1e7f9a428571be2dc5bc0505c13fb6bf936822b894ec87abf8a08a4e51742d,https://github.com/rust-lang/rustc-hash
rustix,1.1.4,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,b6fe4565b9518b83ef4f91bb47ce29620ca828bd32cb7e408f0062e9930ba190,https://github.com/bytecodealliance/rustix
scopeguard,1.2.0,MIT OR Apache-2.0,94143f37725109f92c262ed2cf5e59bce7498c01bcc1502d7b9afe439a4e9f49,https://github.com/bluss/scopeguard
self_cell,1.3.0,Apache-2.0 OR GPL-2.0-only,2ab42ca02749e120097e328d91d415325bdf43b1c72c4c8badf37375fe40a813,https://github.com/Voultapher/self_cell
serde,1.0.229,MIT OR Apache-2.0,4148590afebada386688f18773da617792bf2ef03ffc1e4cbd2b1d45b023e0ba,https://github.com/serde-rs/serde
serde_core,1.0.229,MIT OR Apache-2.0,67dca2c9c51e58a4791a4b1ed58308b39c64224d349a935ab5039aa360942a48,https://github.com/serde-rs/serde
serde_derive,1.0.229,MIT OR Apache-2.0,e7a5d71263a5a7d47b41f6b3f06ba276f10cc18b0931f1799f710578e2309348,https://github.com/serde-rs/serde
serde_json,1.0.151,MIT OR Apache-2.0,c841b55ecdae098c80dcae9cf767f6f8a0c2cdb3416bbef72181df4d0fe73f14,https://github.com/serde-rs/json
sha2,0.10.9,MIT OR Apache-2.0,a7507d819769d01a365ab707794a4084392c824f54a7a6a7862f8c3d0892b283,https://github.com/RustCrypto/hashes
shlex,2.0.1,MIT OR Apache-2.0,f8fadd59c855ef2080decdef8ff161eb6661b86933c9d82e5ba29dc602a55aba,https://github.com/comex/rust-shlex
simd-adler32,0.3.10,MIT,3a219298ac11a56ea9a6d2120044824d6f01aeb034955e7af7bc16858527deea,https://github.com/mcountryman/simd-adler32
skrifa,0.44.0,MIT OR Apache-2.0,819ab7d62b1d3e72d9d9dea5650bac30424f9111364bb94928dbf5ecad1baa68,https://github.com/googlefonts/fontations
smallvec,1.16.0,MIT OR Apache-2.0,b9be42f50aa861c555654aa3a37f52f4b1074bacf4e48fe0ef7fa584e80f1f0f,https://github.com/servo/rust-smallvec
smol_str,0.2.2,MIT OR Apache-2.0,dd538fb6910ac1099850255cf94a94df6551fbdd602454387d0adb2d1ca6dead,https://github.com/rust-analyzer/smol_str
spirv,0.4.0+sdk-1.4.341.0,Apache-2.0,d9571ea910ebd84c86af4b3ed27f9dbdc6ad06f17c5f96146b2b671e2976744f,https://github.com/gfx-rs/rspirv
static_assertions,1.1.0,MIT OR Apache-2.0,a2eb9349b6444b326872e140eb1cf5e7c522154d69e7a0ffb0fb81c06b37543f,https://github.com/nvzqz/static-assertions-rs
syn,2.0.119,MIT OR Apache-2.0,872831b642d1a07999a962a351ed35b955ea2cfc8f3862091e2a240a84f17297,https://github.com/dtolnay/syn
